
---------- Begin Simulation Statistics ----------
simSeconds                                   0.069842                       # Number of seconds simulated (Second)
simTicks                                  69841996156                       # Number of ticks simulated (Tick)
finalTick                                 69841996156                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    710.03                       # Real time elapsed on the host (Second)
hostTickRate                                 98364488                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16979936                       # Number of bytes of host memory used (Byte)
simInsts                                    157181155                       # Number of instructions simulated (Count)
simOps                                      181430280                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221372                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     255524                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           556                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        125615102                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.799174                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.251292                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       275222361                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    36752                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      220847003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 131592                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             93828832                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         301129165                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 163                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           125394270                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.761221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.839076                       # Number of insts issued each cycle (Count)
system.cpu.dcache.WriteReq.hits::total       13518622                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data       651528                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total       651528                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data  40286931506                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.missLatency::total  40286931506                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.accesses::cpu.data     14170150                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.accesses::total     14170150                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.missRate::cpu.data     0.045979                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.missRate::total     0.045979                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMissLatency::cpu.data 61834.535900                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMissLatency::total 61834.535900                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.mshrHits::cpu.data       542181                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrHits::total       542181                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrMisses::cpu.data       109347                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMisses::total       109347                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data   7615811111                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissLatency::total   7615811111                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissRate::cpu.data     0.007717                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.mshrMissRate::total     0.007717                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data 69648.102929                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMshrMissLatency::total 69648.102929                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dcache.tags.tagsInUse           511.794590                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dcache.tags.totalRefs             28279018                       # Total number of references to valid blocks. (Count)
system.cpu.dcache.tags.sampledRefs             318152                       # Sample count of references to valid blocks. (Count)
system.cpu.dcache.tags.avgRefs              88.885244                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dcache.tags.warmupTick              141224                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dcache.tags.occupancies::cpu.data   511.794590                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.dcache.tags.avgOccs::cpu.data     0.999599                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.avgOccs::total        0.999599                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.occupanciesTaskId::1024          512                       # Occupied blocks per task id (Count)
system.cpu.dcache.tags.ageTaskId_1024::0          205                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::1          287                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::2            9                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::3            7                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::4            4                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.dcache.tags.tagAccesses           58938948                       # Number of tag accesses (Count)
system.cpu.dcache.tags.dataAccesses          58938948                       # Number of data accesses (Count)
system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.decode.idleCycles                 35149236                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles              34036033                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                  47231994                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles               5798753                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                3178254                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved             17836087                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                167231                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts              304629803                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                228421                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts           217299219                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     4                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches         30789337                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts        19968079                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts       16345503                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            1.729881                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads      709067470                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites     133403581                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegWrites             0                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads     274362456                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites    161034580                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs          36313582                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads     32180291                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites        36567                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numVecRegReads            16                       # Number of times the vector registers were read (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches           24787984                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                      77765045                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                 6685786                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                10058                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles         11240                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles           40                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                  42279516                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes               1173887                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples          125394270                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              2.559602                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.149413                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                 64678729     51.58%     51.58% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                  6686338      5.33%     56.91% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                  3460226      2.76%     59.67% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                  6098408      4.86%     64.54% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                  7108776      5.67%     70.20% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                  8159157      6.51%     76.71% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                  5053665      4.03%     80.74% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                  3687282      2.94%     83.68% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                 20461689     16.32%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total            125394270                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts             276981878                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             2.205005                       # Number of inst fetches per cycle ((Count/Cycle))
